Country Name,Region,2019,2020,2021,2022
Afghanistan,Asia,2.908529093,3.134746908,2.851357654,2.534498317
United Arab Emirates,Asia,0.779087177,0.817694386,0.834812788,0.808075151
Argentina,South America,0.993397493,0.970053991,0.947490959,0.925835474
Australia,Oceania,1.485208447,1.23570108,0.127728296,1.125898518
Belgium,Europe,0.540461327,0.430996815,0.469904402,0.657664577
Benin,Africa,2.887074085,2.829138113,2.759705179,2.702041089
Brazil,South America,0.766107802,0.665176682,0.528590453,0.459583548
Canada,North America,1.436136823,1.073795827,0.575421916,1.823370422
Switzerland,Europe,0.713313668,0.730676195,0.752392087,0.759294505
Chile,South America,1.791391972,1.360643634,0.994344898,0.565514128
China,Asia,0.35474089,0.23804087,0.0892522,-0.013099501
Cameroon,Africa,2.774879781,2.711853658,2.635819406,2.598102588
Colombia,South America,1.830746942,1.470102032,1.143820916,0.691481571
Cuba,North America,-0.101983052,-0.141475202,-0.393012542,-0.393269983
Germany,Europe,0.225519874,0.081693159,0.042327057,1.056627141
Denmark,Europe,0.358130916,0.291641177,0.433414489,0.787502465
"Egypt, Arab Rep.",Africa,1.794002125,1.733129572,1.658383679,1.56907383
Euro area,Europe,0.113304729,0.134533311,0.045025648,0.423031775
Eritrea,Africa,1.539273546,1.617399943,1.796101337,1.74475946
Spain,Europe,0.717715637,0.488502132,0.105706398,0.419409972
European Union,Europe,0.081899351,0.072674976,-0.114479294,0.173587895
Finland,Europe,0.11019169,0.143641197,0.207288594,0.285874176
Fiji,Oceania,-0.057797147,0.21284622,0.453976646,0.55609146
France,Europe,0.341374143,0.271350508,0.263854757,0.274205279
United Kingdom,Europe,0.564131113,0.365758264,-0.081925305,-0.081925285
Greenland,North America,0.359917714,0.252238303,0.506106194,0.014120056
"Hong Kong SAR, China",Asia,0.739283471,-0.358932662,-0.911776749,-0.907914524
Haiti,North America,1.335138592,1.302919959,1.237298997,1.193341956
Indonesia,Asia,0.937689274,0.840389268,0.694717688,0.636555115
India,Asia,1.025310772,0.955220858,0.797216094,0.680372581
Ireland,Europe,1.367626954,1.029110503,0.953898052,1.0636896
"Iran, Islamic Rep.",Asia,1.099593263,0.835176148,0.722822505,0.710745643
Iraq,Asia,2.368388314,2.362111839,2.26888921,2.186916934
Iceland,Europe,2.198932258,1.623086251,1.63931664,2.486806658
Israel,Asia,1.90898264,1.763679392,1.610385828,1.965667853
Italy,Europe,-1.153028424,-0.487095092,-0.555357163,-0.428632459
Jamaica,North America,0.068899222,0.236519558,0.257040922,-0.011246541
Japan,Asia,-0.140464978,-0.294194618,-0.459952416,-0.443851919
"Korea, Rep.",Asia,0.347874969,0.137869266,-0.176408651,-0.225898557
Liberia,Africa,1.94236198,2.031168603,2.05886078,2.082087222
Morocco,Africa,1.043584127,1.053160179,1.051484312,1.023391979
Monaco,Europe,0.013502019,-0.302883027,-0.641236846,-0.593262624
Mexico,North America,0.86026509,0.727243816,0.559420832,0.628607803
Mongolia,Asia,2.139997096,1.897015028,1.609371036,1.499669086
Malaysia,Asia,1.241514631,1.199859622,1.119853991,1.079363741
North America,North America,0.557163666,0.980198112,0.200021608,0.529046606
Netherlands,Europe,0.655071575,0.55554079,0.523490508,0.965187158
Norway,Europe,0.675061373,0.588757324,0.534772282,0.898395221
Nepal,Asia,1.136351607,1.774268056,2.311723712,1.692246601
New Zealand,Oceania,1.591158896,2.204788696,0.415621677,0.248156055
Peru,South America,1.909725608,1.451402401,1.225660252,0.986112054
Philippines,Asia,1.655183692,1.626632905,1.494557167,1.46331573
Poland,Europe,-0.024427107,-0.175062058,-0.401728617,-0.492706204
Puerto Rico,North America,0.010646546,2.713976432,-0.57650769,-1.261613265
Portugal,Europe,0.023733495,0.105114125,0.272191902,0.520283239
Qatar,Asia,1.453317284,-1.682985039,-2.648531832,0.255862792
Romania,Europe,-0.526814822,-0.550759893,-0.757432344,-0.857299397
South Asia,Asia,1.144473285,1.124469419,1.02946393,0.916782671
Saudi Arabia,Asia,2.284589011,0.472667096,-0.129847471,1.267095358
Singapore,Asia,1.144283307,-0.311904961,-4.1703363,3.308620524
South Sudan,Africa,0.502203354,1.506267728,1.3303716,1.52247695
Sweden,Europe,1.013722263,0.722703913,0.600591533,0.680582868
Thailand,Asia,0.252691237,0.235182865,0.175345075,0.133884528
Ukraine,Europe,-0.53099416,-0.57424247,-0.771557698,-14.18845165
United States,North America,0.455381286,0.9643479,0.156747055,0.377564531
Vietnam,Asia,0.904491215,0.906299235,0.844181677,0.734794058